Id,Title,Labels,Iteration,Iteration Start,Iteration End,Type,Estimate,Current State,Created at,Accepted at,Deadline,Requested By,Description,URL,GitHub ID,Integration,Owned By
3159533,Staff maintain member,staff maintain member,,,,epic,,,"Nov 21, 2016",,,,staff maintain the member,https://www.pivotaltracker.com/epic/show/3159533,,,
3159531,Staff maintain Route,staff maintain route,,,,epic,,,"Nov 21, 2016",,,,Staff able to maintain the Route,https://www.pivotaltracker.com/epic/show/3159531,,,
3159525,Staff maintain bus,staff maintain bus,,,,epic,,,"Nov 21, 2016",,,,Staff able to  maintain the bus,https://www.pivotaltracker.com/epic/show/3159525,,,
3159509,Staff maintain bus schedule,staff maintain bus schedule,,,,epic,,,"Nov 21, 2016",,,,Staff able to maintain the bus schedule,https://www.pivotaltracker.com/epic/show/3159509,,,
3159507,Manager maintain staff,manager maintain staff,,,,epic,,,"Nov 21, 2016",,,,"As a manager able to add new staff, search or view staff details, edit existing staff details, and change the staff status to resign.",https://www.pivotaltracker.com/epic/show/3159507,,,
3159501,Manager generate report,manager generate report,,,,epic,,,"Nov 21, 2016",,,,Manager able to generate different types of report that they want for making decision purpose,https://www.pivotaltracker.com/epic/show/3159501,,,
3159497,Customer make payment,customer make payment,,,,epic,,,"Nov 21, 2016",,,,Customer able to make payment to purchase the ticket,https://www.pivotaltracker.com/epic/show/3159497,,,
3159491,Customer purchase bus ticket,customer purchase bus ticket,,,,epic,,,"Nov 21, 2016",,,,Customer are allow to purchase bus ticket by using the system,https://www.pivotaltracker.com/epic/show/3159491,,,
3159487,Login,login,,,,epic,,,"Nov 21, 2016",,,,Allow user to  login to the system,https://www.pivotaltracker.com/epic/show/3159487,,,
134688473,staff delete a member,staff maintain member,,,,feature,,unscheduled,"Nov 21, 2016",,,Chu Yung Onn,"As a staff, I want to delete a member from the list of member when it necessary so that the list of member is always up to date.",https://www.pivotaltracker.com/story/show/134688473,,,
134688455,staff  view and search for existing member,staff maintain member,,,,feature,,unscheduled,"Nov 21, 2016",,,Chu Yung Onn,"As a staff, I want to view and search for existing member by entering their id before updating or deleting so it is easier to locate their information accordingly",https://www.pivotaltracker.com/story/show/134688455,,,
134688419,system to verify customer’s detail ,staff maintain member,,,,feature,,unscheduled,"Nov 21, 2016",,,Chu Yung Onn,"As a customer, I want the system to verify customer’s detail before updating it so it fulfill the format required.",https://www.pivotaltracker.com/story/show/134688419,,,
134688405,customer edit member detail,staff maintain member,,,,feature,,unscheduled,"Nov 21, 2016",,,Chu Yung Onn,"As a customer, I want to edit my member detail so it is always up to date.",https://www.pivotaltracker.com/story/show/134688405,,,
134688369,customer register as new member,staff maintain member,,,,feature,,unscheduled,"Nov 21, 2016",,,Chu Yung Onn,"As a customer, I want to register as new member so I can start to purchase ticket and make payment.",https://www.pivotaltracker.com/story/show/134688369,,,
134688175,staff delete a route,staff maintain route,,,,feature,,unscheduled,"Nov 21, 2016",,,Chu Yung Onn,"As a staff, I want to delete a route from the list of route when there is necessary to change so that the list of route is always up to date.",https://www.pivotaltracker.com/story/show/134688175,,,
134688159,staff edit existing route detail,staff maintain route,,,,feature,,unscheduled,"Nov 21, 2016",,,Chu Yung Onn,"As a staff, I want to edit existing route detail when there is necessary to change so that the route detail is always up to date.",https://www.pivotaltracker.com/story/show/134688159,,,
134688111,staff view existing route ,staff maintain route,,,,feature,,unscheduled,"Nov 21, 2016",,,Chu Yung Onn,"As a staff, I want to search or view existing route before updating or deleting it so it is easier to locate them from the list of route.",https://www.pivotaltracker.com/story/show/134688111,,,
